"","date","hits","geo","time","keyword","gprop","category"
"1",2019-04-04,19,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"2",2019-04-05,25,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"3",2019-04-06,22,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"4",2019-04-07,21,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"5",2019-04-08,25,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"6",2019-04-09,25,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"7",2019-04-10,28,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"8",2019-04-11,25,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"9",2019-04-12,21,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"10",2019-04-13,22,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"11",2019-04-14,24,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"12",2019-04-15,46,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"13",2019-04-16,82,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"14",2019-04-17,51,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"15",2019-04-18,32,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"16",2019-04-19,27,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"17",2019-04-20,23,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"18",2019-04-21,23,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"19",2019-04-22,23,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"20",2019-04-23,47,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"21",2019-04-24,40,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"22",2019-04-25,54,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"23",2019-04-26,38,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"24",2019-04-27,33,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"25",2019-04-28,31,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"26",2019-04-29,24,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"27",2019-04-30,27,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"28",2019-05-01,19,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"29",2019-05-02,17,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"30",2019-05-03,18,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"31",2019-05-04,17,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"32",2019-05-05,20,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"33",2019-05-06,15,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"34",2019-05-07,16,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"35",2019-05-08,15,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"36",2019-05-09,17,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"37",2019-05-10,15,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"38",2019-05-11,13,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"39",2019-05-12,16,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"40",2019-05-13,13,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"41",2019-05-14,13,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"42",2019-05-15,14,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"43",2019-05-16,15,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"44",2019-05-17,14,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"45",2019-05-18,16,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"46",2019-05-19,19,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"47",2019-05-20,17,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"48",2019-05-21,16,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"49",2019-05-22,16,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"50",2019-05-23,14,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"51",2019-05-24,13,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"52",2019-05-25,15,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"53",2019-05-26,14,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"54",2019-05-27,14,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"55",2019-05-28,13,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"56",2019-05-29,13,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"57",2019-05-30,14,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"58",2019-05-31,12,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"59",2019-06-01,12,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"60",2019-06-02,12,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"61",2019-06-03,12,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"62",2019-06-04,11,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"63",2019-06-05,13,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"64",2019-06-06,14,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"65",2019-06-07,13,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"66",2019-06-08,10,"US","2019-04-04 2019-06-08","Bernie Sanders","web",0
"67",2019-04-04,37,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"68",2019-04-05,28,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"69",2019-04-06,30,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"70",2019-04-07,41,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"71",2019-04-08,37,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"72",2019-04-09,28,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"73",2019-04-10,21,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"74",2019-04-11,22,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"75",2019-04-12,34,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"76",2019-04-13,33,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"77",2019-04-14,100,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"78",2019-04-15,88,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"79",2019-04-16,89,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"80",2019-04-17,66,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"81",2019-04-18,40,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"82",2019-04-19,34,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"83",2019-04-20,33,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"84",2019-04-21,35,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"85",2019-04-22,27,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"86",2019-04-23,56,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"87",2019-04-24,28,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"88",2019-04-25,31,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"89",2019-04-26,23,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"90",2019-04-27,19,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"91",2019-04-28,17,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"92",2019-04-29,18,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"93",2019-04-30,28,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"94",2019-05-01,17,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"95",2019-05-02,19,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"96",2019-05-03,15,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"97",2019-05-04,16,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"98",2019-05-05,14,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"99",2019-05-06,13,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"100",2019-05-07,12,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"101",2019-05-08,10,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"102",2019-05-09,10,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"103",2019-05-10,11,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"104",2019-05-11,19,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
